,Title,Topic Label,Accetpance,Difficulty,Frequency,Accepted,Submissions,Premium
1524,1524. Number of Sub-arrays With Odd Sum,"['Array', 'Math', 'Dynamic Programming', '1+']",43.30%,Medium,42.122%;,31.6K,72.9K,
1525,1525. Number of Good Ways to Split a String,"['String', 'Dynamic Programming', '1+']",68.90%,Medium,27.9407%;,87.9K,127.5K,
1526,1526. Minimum Number of Increments on Subarrays to Form a Target Array,"['Array', 'Dynamic Programming', 'Stack', '2+']",68.50%,Hard,34.1541%;,30.7K,44.8K,
1527,1527. Patients With a Condition,['Database'],40.80%,Easy,13.4902%;,99.7K,244.2K,
1528,1528. Shuffle String,"['Array', 'String']",85.20%,Easy,34.9923%;,284.1K,333.3K,
1529,1529. Minimum Suffix Flips,"['String', 'Greedy']",72.60%,Medium,54.3914%;,38.7K,53.3K,
1530,1530. Number of Good Leaf Nodes Pairs,"['Tree', 'Depth-First Search', 'Binary Tree']",61.10%,Medium,30.5193%;,34K,55.7K,
1531,1531. String Compression II,"['String', 'Dynamic Programming']",49.50%,Hard,89.7635%;,43.2K,87.2K,
1532,1532. The Most Recent Three Orders,['Database'],70.00%,Medium,0%;,22K,31.5K,Y
1533,1533. Find the Index of the Large Integer,"['Array', 'Binary Search', 'Interactive']",56.00%,Medium,21.4467%;,10K,17.9K,Y
1534,1534. Count Good Triplets,"['Array', 'Enumeration']",80.90%,Easy,36.3773%;,94.7K,117K,
1535,1535. Find the Winner of an Array Game,"['Array', 'Simulation']",48.60%,Medium,39.8147%;,28.2K,58K,
1536,1536. Minimum Swaps to Arrange a Binary Grid,"['Array', 'Greedy', 'Matrix']",46.50%,Medium,28.7601%;,12.8K,27.6K,
1537,1537. Get the Maximum Score,"['Array', 'Two Pointers', '2+']",39.30%,Hard,35.9968%;,21.2K,53.9K,
1538,1538. Guess the Majority in a Hidden Array,"['Array', 'Math', 'Interactive']",63.50%,Medium,0%;,1.7K,2.7K,Y
1539,1539. Kth Missing Positive Number,"['Array', 'Binary Search']",58.60%,Easy,59.7463%;,296.3K,506K,
1540,1540. Can Convert String in K Moves,"['Hash Table', 'String']",33.40%,Medium,20.2551%;,15.9K,47.7K,
1541,1541. Minimum Insertions to Balance a Parentheses String,"['String', 'Stack', 'Greedy']",49.80%,Medium,27.3012%;,38K,76.3K,
1542,1542. Find Longest Awesome Substring,"['Hash Table', 'String', 'Bit Manipulation']",41.50%,Hard,40.8815%;,11.1K,26.9K,
1543,1543. Fix Product Name Format,['Database'],60.80%,Easy,0%;,17.2K,28.3K,Y
1544,1544. Make The String Great,"['String', 'Stack']",63.30%,Easy,64.3387%;,135.1K,213.6K,
1545,1545. Find Kth Bit in Nth Binary String,"['String', 'Recursion']",58.50%,Medium,34.9923%;,32.6K,55.7K,
1546,1546. Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,"['Array', 'Hash Table', 'Greedy', '1+']",47.40%,Medium,16.6236%;,24.3K,51.3K,
1547,1547. Minimum Cost to Cut a Stick,"['Array', 'Dynamic Programming']",57.00%,Hard,44.2324%;,45.5K,79.7K,
1548,1548. The Most Similar Path in a Graph,"['Dynamic Programming', 'Graph']",57.10%,Hard,28.4803%;,14.7K,25.7K,Y
1549,1549. The Most Recent Orders for Each Product,['Database'],67.40%,Medium,7.09575%;,22.2K,32.9K,Y
1550,1550. Three Consecutive Odds,['Array'],63.50%,Easy,8.46999%;,64.4K,101.4K,
1551,1551. Minimum Operations to Make Array Equal,['Math'],81.50%,Medium,28.7601%;,80.5K,98.8K,
1552,1552. Magnetic Force Between Two Balls,"['Array', 'Binary Search', 'Sorting']",58.00%,Medium,26.8321%;,39.5K,68.1K,
1553,1553. Minimum Number of Days to Eat N Oranges,"['Dynamic Programming', 'Memoization']",34.70%,Hard,34.1541%;,29.2K,83.9K,
1554,1554. Strings Differ by One Character,"['Hash Table', 'String', 'Rolling Hash', '1+']",42.60%,Medium,25.795%;,21.9K,51.4K,Y
1555,1555. Bank Account Summary,['Database'],52.30%,Medium,0%;,13.8K,26.5K,Y
1556,1556. Thousand Separator,['String'],54.60%,Easy,34.4617%;,41.1K,75.4K,
1557,1557. Minimum Number of Vertices to Reach All Nodes,['Graph'],79.40%,Medium,11.5504%;,88.6K,111.5K,
1558,1558. Minimum Numbers of Function Calls to Make Target Array,"['Array', 'Greedy', 'Bit Manipulation']",63.90%,Medium,21.5888%;,18K,28.2K,
1559,1559. Detect Cycles in 2D Grid,"['Array', 'Depth-First Search', '3+']",48.00%,Medium,33.626%;,32K,66.7K,
1560,1560. Most Visited Sector in a Circular Track,"['Array', 'Simulation']",58.60%,Easy,39.6173%;,26K,44.3K,
1561,1561. Maximum Number of Coins You Can Get,"['Array', 'Math', 'Greedy', '2+']",79.10%,Medium,22.4876%;,64.1K,81.1K,
1562,1562. Find Latest Group of Size M,"['Array', 'Binary Search', 'Simulation']",42.80%,Medium,13.5894%;,16K,37.4K,
1563,1563. Stone Game V,"['Array', 'Math', 'Dynamic Programming', '1+']",40.30%,Hard,49.6993%;,15.5K,38.5K,
1564,1564. Put Boxes Into the Warehouse I,"['Array', 'Greedy', 'Sorting']",67.00%,Medium,0%;,14.2K,21.2K,Y
1565,1565. Unique Orders and Customers Per Month,['Database'],82.90%,Easy,0%;,18.4K,22.2K,Y
1566,1566. Detect Pattern of Length M Repeated K or More Times,"['Array', 'Enumeration']",43.40%,Easy,0%;,29.1K,67.1K,
1567,1567. Maximum Length of Subarray With Positive Product,"['Array', 'Dynamic Programming', 'Greedy']",44.00%,Medium,49.9143%;,81.8K,185.8K,
1568,1568. Minimum Number of Days to Disconnect Island,"['Array', 'Depth-First Search', '3+']",46.50%,Hard,27.6804%;,10.6K,22.9K,
1569,1569. Number of Ways to Reorder Array to Get Same BST,"['Array', 'Math', 'Divide and Conquer', '7+']",47.90%,Hard,0%;,11.7K,24.4K,
1570,1570. Dot Product of Two Sparse Vectors,"['Array', 'Hash Table', 'Two Pointers', '1+']",90.30%,Medium,73.1377%;,183.1K,202.7K,Y
1571,1571. Warehouse Manager,['Database'],89.00%,Easy,10.1499%;,33.6K,37.8K,Y
1572,1572. Matrix Diagonal Sum,"['Array', 'Matrix']",80.20%,Easy,24.4334%;,171.7K,214K,
1573,1573. Number of Ways to Split a String,"['Math', 'String']",32.50%,Medium,37.6761%;,23.7K,72.9K,
1574,1574. Shortest Subarray to be Removed to Make Array Sorted,"['Array', 'Two Pointers', 'Binary Search', '2+']",37.00%,Medium,43.4928%;,24.8K,66.9K,
1575,1575. Count All Possible Routes,"['Array', 'Dynamic Programming', 'Memoization']",56.70%,Hard,27.6804%;,12.6K,22.2K,
1576,1576. Replace All ?'s to Avoid Consecutive Repeating Characters,['String'],48.30%,Easy,46.3401%;,51.7K,107.1K,
1577,1577. Number of Ways Where Square of Number Is Equal to Product of Two Numbers,"['Array', 'Hash Table', 'Math', '1+']",40.10%,Medium,29.9546%;,17.9K,44.6K,
1578,1578. Minimum Time to Make Rope Colorful,"['Array', 'String', 'Dynamic Programming', '1+']",63.50%,Medium,82.3999%;,144.9K,228.3K,
1579,1579. Remove Max Number of Edges to Keep Graph Fully Traversable,"['Union Find', 'Graph']",53.20%,Hard,33.5231%;,18.4K,34.6K,
1580,1580. Put Boxes Into the Warehouse II,"['Array', 'Greedy', 'Sorting']",63.70%,Medium,0%;,3.9K,6.1K,Y
1581,1581. Customer Who Visited but Did Not Make Any Transactions,['Database'],85.20%,Easy,9.2456%;,85.9K,100.9K,
1582,1582. Special Positions in a Binary Matrix,"['Array', 'Matrix']",65.40%,Easy,32.7945%;,39.7K,60.7K,
1583,1583. Count Unhappy Friends,"['Array', 'Simulation']",61.00%,Medium,49.3253%;,23.6K,38.7K,
1584,1584. Min Cost to Connect All Points,"['Array', 'Union Find', 'Graph', '1+']",64.00%,Medium,33.3873%;,152.5K,238.3K,
1585,1585. Check If String Is Transformable With Substring Sort Operations,"['String', 'Greedy', 'Sorting']",47.90%,Hard,0%;,6.9K,14.3K,
1586,1586. Binary Search Tree Iterator II,"['Stack', 'Tree', 'Design', '3+']",70.90%,Medium,49.6993%;,12.5K,17.7K,Y
1587,1587. Bank Account Summary II,['Database'],86.30%,Easy,8.25545%;,66.7K,77.3K,
1588,1588. Sum of All Odd Length Subarrays,"['Array', 'Math', 'Prefix Sum']",83.40%,Easy,50.2586%;,151K,181.1K,
1589,1589. Maximum Sum Obtained of Any Permutation,"['Array', 'Greedy', 'Sorting', '1+']",37.20%,Medium,0%;,15.7K,42K,
1590,1590. Make Sum Divisible by P,"['Array', 'Hash Table', 'Prefix Sum']",28.00%,Medium,31.8195%;,21.3K,75.9K,
1591,1591. Strange Printer II,"['Array', 'Graph', 'Topological Sort', '1+']",58.60%,Hard,43.3256%;,8.4K,14.4K,
1592,1592. Rearrange Spaces Between Words,['String'],43.50%,Easy,40.3369%;,46.9K,107.7K,
1593,1593. Split a String Into the Max Number of Unique Substrings,"['Hash Table', 'String', 'Backtracking']",55.30%,Medium,30.5193%;,25.3K,45.8K,
1594,1594. Maximum Non Negative Product in a Matrix,"['Array', 'Dynamic Programming', 'Matrix']",33.10%,Medium,13.5894%;,20.3K,61.2K,
1595,1595. Minimum Cost to Connect Two Groups of Points,"['Array', 'Dynamic Programming', '3+']",46.40%,Hard,34.5195%;,7.2K,15.5K,
1596,1596. The Most Frequently Ordered Products for Each Customer,['Database'],83.50%,Medium,15.8399%;,26K,31.1K,Y
1597,1597. Build Binary Expression Tree From Infix Expression,"['String', 'Stack', 'Tree', '1+']",62.70%,Hard,28.4803%;,11.8K,18.9K,Y
1598,1598. Crawler Log Folder,"['Array', 'String', 'Stack']",64.50%,Easy,31.4888%;,57.7K,89.4K,
1599,1599. Maximum Profit of Operating a Centennial Wheel,"['Array', 'Simulation']",43.80%,Medium,0%;,10.8K,24.8K,
1600,1600. Throne Inheritance,"['Hash Table', 'Tree', 'Depth-First Search', '1+']",63.50%,Medium,31.2883%;,13.7K,21.5K,
1601,1601. Maximum Number of Achievable Transfer Requests,"['Array', 'Backtracking', 'Bit Manipulation', '1+']",51.20%,Hard,34.9923%;,9.2K,17.9K,
1602,1602. Find Nearest Right Node in Binary Tree,"['Tree', 'Breadth-First Search', 'Binary Tree']",75.60%,Medium,0%;,21.1K,27.9K,Y
1603,1603. Design Parking System,"['Design', 'Simulation', 'Counting']",87.90%,Easy,45.7166%;,171.6K,195.2K,
1604,1604. Alert Using Same Key-Card Three or More Times in a One Hour Period,"['Array', 'Hash Table', 'String', '1+']",47.00%,Medium,50.8387%;,29.1K,62K,
1605,1605. Find Valid Matrix Given Row and Column Sums,"['Array', 'Greedy', 'Matrix']",78.00%,Medium,8.39841%;,33K,42.4K,
1606,1606. Find Servers That Handled Most Number of Requests,"['Array', 'Greedy', 'Heap (Priority Queue)', '1+']",42.90%,Hard,54.2003%;,12.9K,29.9K,
1607,1607. Sellers With No Sales,['Database'],54.80%,Easy,5.9586%;,24.5K,44.7K,Y
1608,1608. Special Array With X Elements Greater Than or Equal X,"['Array', 'Binary Search', 'Sorting']",60.40%,Easy,36.9661%;,63.7K,105.3K,
1609,1609. Even Odd Tree,"['Tree', 'Breadth-First Search', 'Binary Tree']",54.30%,Medium,18.5444%;,42.7K,78.7K,
1610,1610. Maximum Number of Visible Points,"['Array', 'Math', 'Geometry', '2+']",37.30%,Hard,70.1804%;,36K,96.5K,
1611,1611. Minimum One Bit Operations to Make Integers Zero,"['Dynamic Programming', 'Bit Manipulation', '1+']",63.30%,Hard,64.8433%;,12.5K,19.8K,
1612,1612. Check If Two Expression Trees are Equivalent,"['Tree', 'Depth-First Search', 'Binary Tree']",70.20%,Medium,0%;,6.2K,8.8K,Y
1613,1613. Find the Missing IDs,['Database'],75.00%,Medium,0%;,15.1K,20.2K,Y
1614,1614. Maximum Nesting Depth of the Parentheses,"['String', 'Stack']",82.30%,Easy,41.3644%;,124.1K,150.8K,
1615,1615. Maximal Network Rank,['Graph'],58.50%,Medium,38.7718%;,60.3K,103.1K,
1616,1616. Split Two Strings to Make Palindrome,"['Two Pointers', 'String']",31.20%,Medium,0%;,19.9K,63.7K,
1617,1617. Count Subtrees With Max Distance Between Cities,"['Dynamic Programming', 'Bit Manipulation', '3+']",66.10%,Hard,0%;,8K,12.1K,
1618,1618. Maximum Font to Fit a Sentence in a Screen,"['Array', 'String', 'Binary Search', '1+']",59.70%,Medium,34.9923%;,6.1K,10.2K,Y
1619,1619. Mean of Array After Removing Some Elements,"['Array', 'Sorting']",65.70%,Easy,11.2987%;,43.7K,66.5K,
1620,1620. Coordinate With Maximum Network Quality,"['Array', 'Enumeration']",37.70%,Medium,0%;,7.4K,19.7K,
1621,1621. Number of Sets of K Non-Overlapping Line Segments,"['Math', 'Dynamic Programming']",42.30%,Medium,26.2365%;,8.1K,19.2K,
1622,1622. Fancy Sequence,"['Math', 'Design', 'Segment Tree']",16.10%,Hard,29.8543%;,9.5K,58.9K,
1623,1623. All Valid Triplets That Can Represent a Country,['Database'],86.80%,Easy,0%;,16.8K,19.3K,Y
1624,1624. Largest Substring Between Two Equal Characters,"['Hash Table', 'String']",59.10%,Easy,19.1985%;,41K,69.4K,
1625,1625. Lexicographically Smallest String After Applying Operations,"['String', 'Breadth-First Search']",65.50%,Medium,31.2883%;,12.3K,18.7K,
1626,1626. Best Team With No Conflicts,"['Array', 'Dynamic Programming', 'Sorting']",51.10%,Medium,78.0943%;,70.2K,137.2K,
1627,1627. Graph Connectivity With Threshold,"['Array', 'Math', 'Union Find']",46.30%,Hard,36.5316%;,13.8K,29.9K,
1628,1628. Design an Expression Tree With Evaluate Function,"['Math', 'Stack', 'Tree', '2+']",82.80%,Medium,46.3401%;,24.1K,29.1K,Y
1629,1629. Slowest Key,"['Array', 'String']",59.20%,Easy,24.3125%;,88K,148.6K,
1630,1630. Arithmetic Subarrays,"['Array', 'Sorting']",80.30%,Medium,21.9148%;,48.8K,60.8K,
1631,1631. Path With Minimum Effort,"['Array', 'Binary Search', '5+']",55.60%,Medium,25.0527%;,141.1K,253.7K,
1632,1632. Rank Transform of a Matrix,"['Array', 'Greedy', 'Union Find', '3+']",40.90%,Hard,0%;,19.9K,48.6K,
1633,1633. Percentage of Users Attended a Contest,['Database'],66.90%,Easy,0%;,22.9K,34.2K,Y
1634,1634. Add Two Polynomials Represented as Linked Lists,"['Linked List', 'Math', 'Two Pointers']",54.40%,Medium,22.8064%;,8.7K,16K,Y
1635,1635. Hopper Company Queries I,['Database'],51.00%,Hard,0%;,6.7K,13.1K,Y
1636,1636. Sort Array by Increasing Frequency,"['Array', 'Hash Table', 'Sorting']",69.50%,Easy,60.1194%;,91.6K,131.8K,
1637,1637. Widest Vertical Area Between Two Points Containing No Points,"['Array', 'Sorting']",84.30%,Medium,25.2677%;,38.3K,45.4K,
1638,1638. Count Substrings That Differ by One Character,"['Hash Table', 'String', 'Dynamic Programming']",71.40%,Medium,27.875%;,23.9K,33.5K,
1639,1639. Number of Ways to Form a Target String Given a Dictionary,"['Array', 'String', 'Dynamic Programming']",43.20%,Hard,77.2982%;,10.4K,24.1K,
1640,1640. Check Array Formation Through Concatenation,"['Array', 'Hash Table']",56.20%,Easy,18.2526%;,74K,131.6K,
1641,1641. Count Sorted Vowel Strings,"['Math', 'Dynamic Programming', 'Combinatorics']",77.40%,Medium,39.0451%;,154.3K,199.4K,
1642,1642. Furthest Building You Can Reach,"['Array', 'Greedy', 'Heap (Priority Queue)']",48.30%,Medium,55.5162%;,112.4K,232.8K,
1643,1643. Kth Smallest Instructions,"['Array', 'Math', 'Dynamic Programming', '1+']",47.00%,Hard,44.195%;,9.9K,21K,
1644,1644. Lowest Common Ancestor of a Binary Tree II,"['Tree', 'Depth-First Search', 'Binary Tree']",59.90%,Medium,15.9149%;,56.5K,94.3K,Y
1645,1645. Hopper Company Queries II,['Database'],38.80%,Hard,0%;,5.1K,13.1K,Y
1646,1646. Get Maximum in Generated Array,"['Array', 'Dynamic Programming', 'Simulation']",50.20%,Easy,24.0725%;,84.2K,167.9K,
1647,1647. Minimum Deletions to Make Character Frequencies Unique,"['Hash Table', 'String', 'Greedy', '1+']",59.10%,Medium,65.1355%;,169.6K,286.9K,
1648,1648. Sell Diminishing-Valued Colored Balls,"['Array', 'Math', 'Binary Search', '3+']",30.40%,Medium,33.203%;,34.6K,113.6K,
1649,1649. Create Sorted Array through Instructions,"['Array', 'Binary Search', '5+']",37.30%,Hard,27.6804%;,22.3K,59.7K,
1650,1650. Lowest Common Ancestor of a Binary Tree III,"['Hash Table', 'Tree', 'Binary Tree']",77.40%,Medium,53.1801%;,157.5K,203.4K,Y
1651,1651. Hopper Company Queries III,['Database'],68.10%,Hard,0%;,5.2K,7.7K,Y
1652,1652. Defuse the Bomb,['Array'],62.20%,Easy,10.4515%;,30.3K,48.7K,
1653,1653. Minimum Deletions to Make String Balanced,"['String', 'Dynamic Programming', 'Stack']",59.10%,Medium,58.6663%;,33.6K,56.9K,
1654,1654. Minimum Jumps to Reach Home,"['Array', 'Dynamic Programming', '1+']",29.00%,Medium,51.8888%;,34.6K,119.3K,
1655,1655. Distribute Repeating Integers,"['Array', 'Dynamic Programming', '3+']",38.90%,Hard,17.3991%;,10.2K,26.2K,
1656,1656. Design an Ordered Stream,"['Array', 'Hash Table', 'Design', '1+']",85.20%,Easy,71.035%;,65.6K,76.9K,
1657,1657. Determine if Two Strings Are Close,"['Hash Table', 'String', 'Sorting']",56.30%,Medium,78.3131%;,105.3K,187K,
1658,1658. Minimum Operations to Reduce X to Zero,"['Array', 'Hash Table', 'Binary Search', '2+']",37.60%,Medium,18.0312%;,109.1K,290K,
1659,1659. Maximize Grid Happiness,"['Dynamic Programming', 'Bit Manipulation', '2+']",38.20%,Hard,31.2883%;,4.3K,11.2K,
1660,1660. Correct a Binary Tree,"['Hash Table', 'Tree', 'Depth-First Search', '2+']",72.50%,Medium,31.2883%;,13.8K,19.1K,Y
1661,1661. Average Time of Process per Machine,['Database'],78.50%,Easy,0%;,20.1K,25.6K,Y
1662,1662. Check If Two String Arrays are Equivalent,"['Array', 'String']",83.40%,Easy,44.9601%;,265.1K,317.7K,
1663,1663. Smallest String With A Given Numeric Value,"['String', 'Greedy']",66.80%,Medium,14.9912%;,87.1K,130.4K,
1664,1664. Ways to Make a Fair Array,"['Array', 'Dynamic Programming']",63.40%,Medium,39.1453%;,30.1K,47.5K,
1665,1665. Minimum Initial Energy to Finish Tasks,"['Array', 'Greedy', 'Sorting']",56.30%,Hard,28.7601%;,14K,24.9K,
1666,1666. Change the Root of a Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",73.10%,Medium,0%;,3.3K,4.5K,Y
1667,1667. Fix Names in a Table,['Database'],65.20%,Easy,20.0071%;,101.4K,155.4K,
1668,1668. Maximum Repeating Substring,"['String', 'String Matching']",39.50%,Easy,25.581%;,34K,86.1K,
1669,1669. Merge In Between Linked Lists,['Linked List'],73.80%,Medium,29.4541%;,68.7K,93.1K,
1670,1670. Design Front Middle Back Queue,"['Array', 'Linked List', 'Design', '2+']",57.30%,Medium,25.795%;,20.6K,35.9K,
1671,1671. Minimum Number of Removals to Make Mountain Array,"['Array', 'Binary Search', '2+']",42.40%,Hard,32.7945%;,20.7K,48.8K,
1672,1672. Richest Customer Wealth,"['Array', 'Matrix']",87.90%,Easy,71.1256%;,559.6K,636.5K,
1673,1673. Find the Most Competitive Subsequence,"['Array', 'Stack', 'Greedy', '1+']",49.30%,Medium,47.3848%;,51.1K,103.8K,
1674,1674. Minimum Moves to Make Array Complementary,"['Array', 'Hash Table', 'Prefix Sum']",38.60%,Medium,38.9364%;,7.3K,19K,
1675,1675. Minimize Deviation in Array,"['Array', 'Greedy', 'Heap (Priority Queue)', '1+']",54.70%,Hard,63.3547%;,87.5K,160.1K,
1676,1676. Lowest Common Ancestor of a Binary Tree IV,"['Tree', 'Depth-First Search', 'Binary Tree']",79.50%,Medium,0%;,28.3K,35.6K,Y
1677,1677. Product's Worth Over Invoices,['Database'],38.40%,Easy,0%;,14.1K,36.6K,Y
1678,1678. Goal Parser Interpretation,['String'],86.60%,Easy,23.8283%;,172.3K,199K,
1679,1679. Max Number of K-Sum Pairs,"['Array', 'Hash Table', 'Two Pointers', '1+']",57.30%,Medium,38.3606%;,121.6K,212.3K,
1680,1680. Concatenation of Consecutive Binary Numbers,"['Math', 'Bit Manipulation', 'Simulation']",57.00%,Medium,81.7243%;,86.8K,152.4K,
1681,1681. Minimum Incompatibility,"['Array', 'Dynamic Programming', '2+']",37.40%,Hard,0%;,6.7K,18K,
1682,1682. Longest Palindromic Subsequence II,"['String', 'Dynamic Programming']",49.50%,Medium,0%;,4.5K,9.1K,Y
1683,1683. Invalid Tweets,['Database'],90.70%,Easy,0%;,22.5K,24.8K,Y
1684,1684. Count the Number of Consistent Strings,"['Array', 'Hash Table', 'String', '1+']",82.20%,Easy,3.4596%;,124.5K,151.5K,
1685,1685. Sum of Absolute Differences in a Sorted Array,"['Array', 'Math', 'Prefix Sum']",63.70%,Medium,34.9041%;,26.6K,41.8K,
1686,1686. Stone Game VI,"['Array', 'Math', 'Greedy', '3+']",54.80%,Medium,46.6618%;,14.2K,25.9K,
1687,1687. Delivering Boxes from Storage to Ports,"['Array', 'Dynamic Programming', '4+']",38.70%,Hard,59.7914%;,5K,12.8K,
1688,1688. Count of Matches in Tournament,"['Math', 'Simulation']",83.20%,Easy,30.3787%;,94.7K,113.8K,
1689,1689. Partitioning Into Minimum Number Of Deci-Binary Numbers,"['String', 'Greedy']",89.20%,Medium,35.1281%;,169.3K,189.8K,
1690,1690. Stone Game VII,"['Array', 'Math', 'Dynamic Programming', '1+']",58.20%,Medium,18.2526%;,30.1K,51.7K,
1691,1691. Maximum Height by Stacking Cuboids,"['Array', 'Dynamic Programming', 'Sorting']",54.40%,Hard,38.8308%;,17.2K,31.6K,
1692,1692. Count Ways to Distribute Candies,['Dynamic Programming'],62.10%,Hard,28.4803%;,2.1K,3.3K,Y
1693,1693. Daily Leads and Partners,['Database'],88.40%,Easy,7.37732%;,72.7K,82.2K,
1694,1694. Reformat Phone Number,['String'],65.00%,Easy,0%;,30.3K,46.6K,
1695,1695. Maximum Erasure Value,"['Array', 'Hash Table', 'Sliding Window']",57.60%,Medium,27.4261%;,107.8K,187.3K,
1696,1696. Jump Game VI,"['Array', 'Dynamic Programming', 'Queue', '3+']",46.10%,Medium,63.8519%;,97.4K,211.5K,
1697,1697. Checking Existence of Edge Length Limited Paths,"['Array', 'Union Find', 'Graph', '1+']",50.80%,Hard,0%;,12.5K,24.5K,
1698,1698. Number of Distinct Substrings in a String,"['String', 'Trie', 'Rolling Hash', '2+']",63.50%,Medium,26.2365%;,7.9K,12.4K,Y
1699,1699. Number of Calls Between Two Persons,['Database'],83.10%,Medium,10.282%;,32.6K,39.2K,Y
1700,1700. Number of Students Unable to Eat Lunch,"['Array', 'Stack', 'Queue', '1+']",68.60%,Easy,26.8896%;,61.1K,89.1K,
1701,1701. Average Waiting Time,"['Array', 'Simulation']",62.60%,Medium,21.5888%;,23.7K,37.9K,
